input,target
"[WORD_GAP] short [WORD_GAP] medical [WORD_GAP] , some teams had to work with any available resources , constructing splints out [WORD_GAP] [WORD_GAP] and reusing latex gloves [WORD_GAP]","Running short of medical supplies , some teams had to work with any available resources , constructing splints out of cardboard and reusing latex gloves ."
[WORD_GAP] [WORD_GAP] units had to withdraw as night fell [WORD_GAP] security fears .,Other rescue units had to withdraw as night fell amid security fears .
"Ophelia Dahl , director of Partners in Health , repo_ted , "" there are hundreds of t_ousands of in_ured people .","Ophelia Dahl , director of Partners in Health , reported , "" there are hundreds of thousands of injured people ."
[WOR__GAP] [WORD_GAP] aircraft carrying a field hospital was repeatedly turned [WORD_GAP] by US air traffic controllers who had assumed c_ntrol at Toussaint L 'Ouverture International Airport .,An MSF aircraft carrying a field hospital was repeatedly turned away by US air traffic controllers who had assumed control at Toussaint L 'Ouverture International Airport .
Four other MSF aircr_ft were also turned away .,Four other MSF aircraft were also turned away .
"In a 19 January pre_s release MSF said , "" It is l_ke work_ng in a war situa_ion .","In a 19 January press release MSF said , "" It is like working in a war situation ."
We don 't [WORD_GAP] [WORD_GAP] more morphine to manage pain [WORD_GAP] our patients [WORD_GAP],We don 't have any more morphine to manage pain for our patients .
We cannot accept that planes carrying [LINE_GAP] equipment continue to be turned away while our patients die .,We cannot accept that planes carrying lifesaving medical supplies and equipment continue to be turned away while our patients die .
Priority must [WORD_GAP] given to medical supplies entering the country .,Priority must be given to medical supplies entering the country .
""" [WORD_GAP] responders voiced [WORD_GAP] with the number of [WORD_GAP] trucks sitting unused at the airport .",""" First responders voiced frustration with the number of relief trucks sitting unused at the airport ."
"The airport [WORD_GAP] ab_e to support 100 landings [WORD_GAP] day , [WORD_GA_] from the 35 a day that the [WORD_GAP] gets during normal operation .","The airport was able to support 100 landings a day , up from the 35 a day that the airport gets during normal operation ."
"A spokesman for the jo_nt [WORD_GAP] force running the air_ort confirmed that though m_re flights were requesting la_ding slo_s , none were being [WORD_GAP] away [WORD_GAP]","A spokesman for the joint task force running the airport confirmed that though more flights were requesting landing slots , none were being turned away ."
"US officials acknowledged that coordination of the relief effort is central to Haitian recovery , [LINE_GAP] for calm coordination between assisting nations without mutual accusations .","US officials acknowledged that coordination of the relief effort is central to Haitian recovery , and President Préval asked for calm coordination between assisting nations without mutual accusations ."
US Air Force lo_s documenting activity at the airport [WORD_GAP] by the A_sociated Press largely disprove the claim that the US held [WORD_GAP] aid in favor of military flights .,US Air Force logs documenting activity at the airport obtained by the Associated Press largely disprove the claim that the US held up aid in favor of military flights .
"According to a US Air Force Captain who had coordinated flight schedules , ne_rly all groups sending aid insisted [WORD_GAP] shipment [WORD_GAP] urgent [WORD_GAP]","According to a US Air Force Captain who had coordinated flight schedules , nearly all groups sending aid insisted their shipment was urgent ."
"Those flights that were rejected were diverted [LINE_GAP] Dominican Republic , where their cargoes were unloaded and taken to Haiti by land .","Those flights that were rejected were diverted to the Dominican Republic , where their cargoes were unloaded and taken to Haiti by land ."
"At the peak of the rel_ef e_forts , the airport was in a state of chaos .","At the peak of the relief efforts , the airport was in a state of chaos ."
"Normally , the airport , with a single runway and [WORD_GA_] spaces [WORD_GAP] large planes , handled 20 flights a day .","Normally , the airport , with a single runway and 10 spaces for large planes , handled 20 flights a day ."
"After the earthquake struck , hundreds of planes rushed to Haiti without de_ignated landing time .","After the earthquake struck , hundreds of planes rushed to Haiti without designated landing time ."
"On average , a plane would l_nd or take off every two minutes .","On average , a plane would land or take off every two minutes ."
"The supply backup at the airport was expected to ease as the apron management im_roved , and when the perceived n_ed for heavy security diminished .","The supply backup at the airport was expected to ease as the apron management improved , and when the perceived need for heavy security diminished ."
Airport congestion was reduced further on [WORD_GAP] January when the [WORD_GAP] Nations and US forces formally agreed to [WORD_GAP] [WORD_GAP] flights over security [WORD_GAP] .,Airport congestion was reduced further on 18 January when the United Nations and US forces formally agreed to prioritise humanitarian flights over security reinforcement .
"[WORD_GAP] 14 January , over 20 co_ntries had sent military personnel to the country , with Canada , the United [WORD_GAP] and the [WORD_GAP] Republic providing the la_gest contingents .","By 14 January , over 20 countries had sent military personnel to the country , with Canada , the United States and the Dominican Republic providing the largest contingents ."
Another large French vessel was later ordered to Haiti [WORD_GAP] the amphibious transport dock Siroco .,"Another large French vessel was later ordered to Haiti , the amphibious transport dock Siroco ."
International rescue efforts were [WORD_GAP] by tr_ffic congestion and blo_ked roads .,International rescue efforts were restricted by traffic congestion and blocked roads .
The small airstrip [WORD_GAP] damage that [WORD_GAP] it unusable for supply flights until 20 January [WORD_GAP],The small airstrip suffered damage that rendered it unusable for supply flights until 20 January .
"British search and rescue teams were the first [WORD_GAP] arrive in Léogane , the town at the epicenter of [WORD_GAP] quake , on 17 January .","British search and rescue teams were the first to arrive in Léogane , the town at the epicenter of the quake , on 17 January ."
"The Canadian ship [WORD_GAP] [WORD_GAP] reached the area on [WORD_GAP] January , and by [WORD_GAP] January there were 250 – 300 Canadian [WORD_GAP] assisting relief efforts [WORD_GAP] the [WORD_GAP] .","The Canadian ship HMCS Athabaskan reached the area on 19 January , and by 20 January there were 250 – 300 Canadian personnel assisting relief efforts in the town ."
"By 19 January , staff [WORD_GAP] the [WORD_GAP] Red [WORD_GAP] had also managed to reach the town , which [WORD_GAP] described as "" severely damaged [WORD_GAP]","By 19 January , staff of the International Red Cross had also managed to reach the town , which they described as "" severely damaged ..."
The UN also urged organizations to coordinate aid efforts through its mission in Hai_i to allow for better scheduling of the arrival of supplies .,The UN also urged organizations to coordinate aid efforts through its mission in Haiti to allow for better scheduling of the arrival of supplies .
"On 23 January the Haitian government officially called off the search for survivors , and most search and rescue teams began [LINE_GAP] leave the country .","On 23 January the Haitian government officially called off the search for survivors , and most search and rescue teams began to prepare to leave the country ."
"On 5 February , ten Baptist missionaries from [WORD_GAP] led by Laura Silsby were [WORD_GAP] with criminal association and kidnapping for trying to smuggle 33 children out of [WORD_GAP] .","On 5 February , ten Baptist missionaries from Idaho led by Laura Silsby were charged with criminal association and kidnapping for trying to smuggle 33 children out of Haiti ."
""" By 9 March 2010 , [WORD_GAP] but Silsby w_re deported and she remained incarcerated .",""" By 9 March 2010 , all but Silsby were deported and she remained incarcerated ."
Social netw_rking organizations such as Crisis Camp Haiti were developed to aid in the structure [WORD_GAP] coordination of relief efforts in Haiti and future catastrophic events as well .,Social networking organizations such as Crisis Camp Haiti were developed to aid in the structure and coordination of relief efforts in Haiti and future catastrophic events as well .
"US [WORD_GAP] Barack Ob_ma announced that [WORD_GAP] presidents Bill Clinton , who also acts as the UN special envoy to Haiti , and George W.","US President Barack Obama announced that former presidents Bill Clinton , who also acts as the UN special envoy to Haiti , and George W."
Bush would coordinate efforts to raise [LINE_GAP] recovery .,Bush would coordinate efforts to raise funds for Haiti 's recovery .
"US Vice President [LINE_GAP] stated on 16 January that President Obama "" does not view this as a humanitarian mission with a life cycle of a month .","US Vice President Joe Biden stated on 16 January that President Obama "" does not view this as a humanitarian mission with a life cycle of a month ."
